GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
RAPGEF4	0.88	Rap guanine nucleotide exchange factor (GEF) 4 [Source:HGNC Symbol;Acc:16626]
ZMYM2	0.88	zinc finger, MYM-type 2 [Source:HGNC Symbol;Acc:12989]
ELF1	0.88	E74-like factor 1 (ets domain transcription factor) [Source:HGNC Symbol;Acc:3316]
FOXJ3	0.88	forkhead box J3 [Source:HGNC Symbol;Acc:29178]
MATR3	0.87	matrin 3 [Source:HGNC Symbol;Acc:6912]
MFAP1	0.87	microfibrillar-associated protein 1 [Source:HGNC Symbol;Acc:7032]
TIA1	0.87	TIA1 cytotoxic granule-associated RNA binding protein [Source:HGNC Symbol;Acc:11802]
PRPF3	0.87	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:17348]
ATRX	0.87	alpha thalassemia/mental retardation syndrome X-linked [Source:HGNC Symbol;Acc:886]
SLTM	0.87	SAFB-like, transcription modulator [Source:HGNC Symbol;Acc:20709]
KIAA0947	0.87	KIAA0947 [Source:HGNC Symbol;Acc:29154]
PDS5A	0.87	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:29088]
SRSF2	0.87	serine/arginine-rich splicing factor 2 [Source:HGNC Symbol;Acc:10783]
PPP4C	0.86	protein phosphatase 4, catalytic subunit [Source:HGNC Symbol;Acc:9319]
PNRC1	0.86	proline-rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:17278]
ANXA4	0.86	annexin A4 [Source:HGNC Symbol;Acc:542]
EP300	0.86	E1A binding protein p300 [Source:HGNC Symbol;Acc:3373]
DAAM1	0.86	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:18142]
YTHDC2	0.86	YTH domain containing 2 [Source:HGNC Symbol;Acc:24721]
KIAA1033	0.85	KIAA1033 [Source:HGNC Symbol;Acc:29174]
SRSF6	0.85	serine/arginine-rich splicing factor 6 [Source:HGNC Symbol;Acc:10788]
HIF1A	0.85	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) [Source:HGNC Symbol;Acc:4910]
CHUK	0.85	conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:1974]
SERINC1	0.85	serine incorporator 1 [Source:HGNC Symbol;Acc:13464]
ANKS1A	0.85	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:20961]
EIF3A	0.85	eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:3271]
LIG4	0.85	ligase IV, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6601]
PIK3CA	0.85	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
C2CD5	0.85	C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062]
GPATCH8	0.84	G patch domain containing 8 [Source:HGNC Symbol;Acc:29066]
ZNF266	0.84	zinc finger protein 266 [Source:HGNC Symbol;Acc:13059]
RPA1	0.84	replication protein A1, 70kDa [Source:HGNC Symbol;Acc:10289]
KIF3A	0.84	kinesin family member 3A [Source:HGNC Symbol;Acc:6319]
NFKB1	0.84	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Source:HGNC Symbol;Acc:7794]
SP3	0.84	Sp3 transcription factor [Source:HGNC Symbol;Acc:11208]
SMC3	0.84	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:2468]
RYBP	0.84	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:10480]
WASF2	0.84	WAS protein family, member 2 [Source:HGNC Symbol;Acc:12733]
SMAD4	0.84	SMAD family member 4 [Source:HGNC Symbol;Acc:6770]
SNAP23	0.84	synaptosomal-associated protein, 23kDa [Source:HGNC Symbol;Acc:11131]
REV3L	0.83	REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:HGNC Symbol;Acc:9968]
TRA2B	0.83	transformer 2 beta homolog (Drosophila) [Source:HGNC Symbol;Acc:10781]
MED23	0.83	mediator complex subunit 23 [Source:HGNC Symbol;Acc:2372]
ASH2L	0.83	ash2 (absent, small, or homeotic)-like (Drosophila) [Source:HGNC Symbol;Acc:744]
SLC35A1	0.83	solute carrier family 35 (CMP-sialic acid transporter), member A1 [Source:HGNC Symbol;Acc:11021]
SRPK2	0.83	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:11306]
USPL1	0.82	ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:20294]
XPO1	0.82	exportin 1 (CRM1 homolog, yeast) [Source:HGNC Symbol;Acc:12825]
MTF2	0.82	metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:29535]
MARCH7	0.82	membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17393]
PRPF39	0.82	pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:20314]
RAB3GAP2	0.82	RAB3 GTPase activating protein subunit 2 (non-catalytic) [Source:HGNC Symbol;Acc:17168]
NDFIP1	0.82	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:17592]
ZNF451	0.81	zinc finger protein 451 [Source:HGNC Symbol;Acc:21091]
CCNT2	0.81	cyclin T2 [Source:HGNC Symbol;Acc:1600]
DDX42	0.81	DEAD (Asp-Glu-Ala-Asp) box helicase 42 [Source:HGNC Symbol;Acc:18676]
STK3	0.81	serine/threonine kinase 3 [Source:HGNC Symbol;Acc:11406]
UPF1	0.81	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]
RNPS1	0.81	RNA binding protein S1, serine-rich domain [Source:HGNC Symbol;Acc:10080]
ZCCHC11	0.81	zinc finger, CCHC domain containing 11 [Source:HGNC Symbol;Acc:28981]
RSBN1	0.81	round spermatid basic protein 1 [Source:HGNC Symbol;Acc:25642]
TANK	0.80	TRAF family member-associated NFKB activator [Source:HGNC Symbol;Acc:11562]
ZFP36	0.80	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:12862]
SKIV2L2	0.80	superkiller viralicidic activity 2-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:18734]
HNRNPR	0.80	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047]
SRSF7	0.80	serine/arginine-rich splicing factor 7 [Source:HGNC Symbol;Acc:10789]
GABPA	0.80	GA binding protein transcription factor, alpha subunit 60kDa [Source:HGNC Symbol;Acc:4071]
SPG11	0.80	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:11226]
EGFR	0.79	epidermal growth factor receptor [Source:HGNC Symbol;Acc:3236]
ZDHHC17	0.79	zinc finger, DHHC-type containing 17 [Source:HGNC Symbol;Acc:18412]
DDX3X	0.79	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked [Source:HGNC Symbol;Acc:2745]
PPP1R15A	0.79	protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:14375]
TRIM52	0.79	tripartite motif containing 52 [Source:HGNC Symbol;Acc:19024]
RSRC2	0.79	arginine/serine-rich coiled-coil 2 [Source:HGNC Symbol;Acc:30559]
PTPN12	0.79	protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:9645]
SACM1L	0.79	SAC1 suppressor of actin mutations 1-like (yeast) [Source:HGNC Symbol;Acc:17059]
CNOT8	0.79	CCR4-NOT transcription complex, subunit 8 [Source:HGNC Symbol;Acc:9207]
ANKRD17	0.79	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:23575]
DEK	0.79	DEK oncogene [Source:HGNC Symbol;Acc:2768]
RBM6	0.79	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]
PJA2	0.79	praja ring finger 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17481]
MFN2	0.79	mitofusin 2 [Source:HGNC Symbol;Acc:16877]
STXBP3	0.79	syntaxin binding protein 3 [Source:HGNC Symbol;Acc:11446]
SUZ12	0.79	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:17101]
CLK2	0.79	CDC-like kinase 2 [Source:HGNC Symbol;Acc:2069]
BBX	0.78	bobby sox homolog (Drosophila) [Source:HGNC Symbol;Acc:14422]
RGL2	0.78	ral guanine nucleotide dissociation stimulator-like 2 [Source:HGNC Symbol;Acc:9769]
CTNNAL1	0.78	catenin (cadherin-associated protein), alpha-like 1 [Source:HGNC Symbol;Acc:2512]
RASSF5	0.78	Ras association (RalGDS/AF-6) domain family member 5 [Source:HGNC Symbol;Acc:17609]
FUBP3	0.78	far upstream element (FUSE) binding protein 3 [Source:HGNC Symbol;Acc:4005]
PAPD7	0.78	PAP associated domain containing 7 [Source:HGNC Symbol;Acc:16705]
SRSF3	0.78	serine/arginine-rich splicing factor 3 [Source:HGNC Symbol;Acc:10785]
PPP1R12A	0.78	protein phosphatase 1, regulatory subunit 12A [Source:HGNC Symbol;Acc:7618]
PPIP5K2	0.78	diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:29035]
ZC3H11A	0.78	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]
HTT	0.78	huntingtin [Source:HGNC Symbol;Acc:4851]
RPA2	0.78	replication protein A2, 32kDa [Source:HGNC Symbol;Acc:10290]
KIF5B	0.78	kinesin family member 5B [Source:HGNC Symbol;Acc:6324]
CAND1	0.78	cullin-associated and neddylation-dissociated 1 [Source:HGNC Symbol;Acc:30688]
FMR1	0.77	fragile X mental retardation 1 [Source:HGNC Symbol;Acc:3775]
NIPBL	0.77	Nipped-B homolog (Drosophila) [Source:HGNC Symbol;Acc:28862]
TIMP3	0.77	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:11822]
XPOT	0.77	exportin, tRNA [Source:HGNC Symbol;Acc:12826]
EME1	0.77	essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:24965]
SRSF5	0.77	serine/arginine-rich splicing factor 5 [Source:HGNC Symbol;Acc:10787]
MAP3K8	0.77	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:6860]
CUL3	0.77	cullin 3 [Source:HGNC Symbol;Acc:2553]
SHC1	0.77	SHC (Src homology 2 domain containing) transforming protein 1 [Source:HGNC Symbol;Acc:10840]
RNF44	0.77	ring finger protein 44 [Source:HGNC Symbol;Acc:19180]
CENPC	0.77	centromere protein C [Source:HGNC Symbol;Acc:1854]
TRAM1	0.77	translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:20568]
TERF1	0.77	telomeric repeat binding factor (NIMA-interacting) 1 [Source:HGNC Symbol;Acc:11728]
RBM3	0.77	RNA binding motif (RNP1, RRM) protein 3 [Source:HGNC Symbol;Acc:9900]
FANCL	0.77	Fanconi anemia, complementation group L [Source:HGNC Symbol;Acc:20748]
ACTN1	0.77	actinin, alpha 1 [Source:HGNC Symbol;Acc:163]
CREB1	0.76	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:2345]
HNRNPH1	0.76	heterogeneous nuclear ribonucleoprotein H1 (H) [Source:HGNC Symbol;Acc:5041]
NFAT5	0.76	nuclear factor of activated T-cells 5, tonicity-responsive [Source:HGNC Symbol;Acc:7774]
PIK3C2A	0.76	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:8971]
ITCH	0.76	itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:13890]
PRPF40A	0.76	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:16463]
HTATSF1	0.76	HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:5276]

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
Physical interactions		78.93
	Zhou-Liang-2012	7.49	Shotgun proteomics and network analysis of ubiquitin-related proteins from human breast carcinoma epithelial cells.	Zhou, Bi, Lin, Chen, Wang, Liang	2012	Mol Cell Biochem	21853274	http://www.ncbi.nlm.nih.gov/pubmed/21853274	Direct interaction	207	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cancer,Epithelial Cells,Cell Line,Transcription Factors,Breast Cancer
	Singh-Moore-2012	5.44	The cellular EJC interactome reveals higher-order mRNP structure and an EJC-SR protein nexus.	Singh, Kucukural, Cenik, Leszyk, Shaffer, Weng, Moore	2012	Cell	23084401	http://www.ncbi.nlm.nih.gov/pubmed/23084401	Direct interaction	301	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Altun-Kessler-2011	4.12	Activity-based chemical proteomics accelerates inhibitor development for deubiquitylating enzymes.	Altun, Kramer, Willems, McDermott, Leach, Goldenberg, Kumar, Konietzny, Fischer, Kogan, Mackeen, McGouran, Khoronenkova, Parsons, Dianov, Nicholson, Kessler	2011	Chem Biol	22118674	http://www.ncbi.nlm.nih.gov/pubmed/22118674	Direct interaction	287	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Matsumoto-Nakayama-2005	2.99	Large-scale analysis of the human ubiquitin-related proteome.	Matsumoto, Hatakeyama, Oyamada, Oda, Nishimura, Nakayama	2005	Proteomics	16196087	http://www.ncbi.nlm.nih.gov/pubmed/16196087	Direct interaction	648	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Lee-Doedens-2011	2.91	Ubiquitin ligase substrate identification through quantitative proteomics at both the protein and peptide levels.	Lee, Hammerle, Andrews, Stokes, Mustelin, Silva, Black, Doedens	2011	J Biol Chem	21987572	http://www.ncbi.nlm.nih.gov/pubmed/21987572	Direct interaction	1320	BIOGRID	http://thebiogrid.org/	
	Behzadnia-Lührmann-2007	2.15	Composition and three-dimensional EM structure of double affinity-purified, human prespliceosomal A complexes.	Behzadnia, Golas, Hartmuth, Sander, Kastner, Deckert, Dube, Will, Urlaub, Stark, Lührmann	2007	EMBO J	17332742	http://www.ncbi.nlm.nih.gov/pubmed/17332742	Direct interaction	112	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Jones-MacBeath-2006	2.14	A quantitative protein interaction network for the ErbB receptors using protein microarrays.	Jones, Gordus, Krall, MacBeath	2006	Nature	16273093	http://www.ncbi.nlm.nih.gov/pubmed/16273093	Direct interaction	172	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cell Line
	Maréchal-Zou-2014	2.01	PRP19 transforms into a sensor of RPA-ssDNA after DNA damage and drives ATR activation via a ubiquitin-mediated circuitry.	Maréchal, Li, Ji, Wu, Yazinski, Nguyen, Liu, Jiménez, Jin, Zou	2014	Mol Cell	24332808	http://www.ncbi.nlm.nih.gov/pubmed/24332808	Direct interaction	996	BIOGRID	http://thebiogrid.org/	Transcription Factors,Signal Transduction
	Berggård-James-2006	1.90	140 mouse brain proteins identified by Ca2+-calmodulin affinity chromatography and tandem mass spectrometry.	Berggård, Arrigoni, Olsson, Fex, Linse, James	2006	J Proteome Res	16512683	http://www.ncbi.nlm.nih.gov/pubmed/16512683	Direct interaction	151	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	Shi-Qin-2011	1.82	A data set of human endogenous protein ubiquitination sites.	Shi, Chan, Jung, Malovannaya, Wang, Qin	2011	Mol Cell Proteomics	20972266	http://www.ncbi.nlm.nih.gov/pubmed/20972266	Direct interaction	269	BIOGRID	http://thebiogrid.org/	Cancer
	Vanderwerf-Bagby-2009	1.80	TLR8-dependent TNF-(alpha) overexpression in Fanconi anemia group C cells.	Vanderwerf, Svahn, Olson, Rathbun, Harrington, Yates, Keeble, Anderson, Anur, Pereira, Pilonetto, Pasquini, Bagby	2009	Blood	19850743	http://www.ncbi.nlm.nih.gov/pubmed/19850743	Direct interaction	149	BIOGRID	http://thebiogrid.org/	Knockout,Cell Signalling,Signal Transduction
	Mak-Moffat-2010	1.71	A lentiviral functional proteomics approach identifies chromatin remodeling complexes important for the induction of pluripotency.	Mak, Ni, Hewel, Chen, Zhong, Karamboulas, Blakely, Smiley, Marcon, Roudeva, Li, Olsen, Wan, Punna, Isserlin, Chetyrkin, Gingras, Emili, Greenblatt, Moffat	2010	Mol Cell Proteomics	20305087	http://www.ncbi.nlm.nih.gov/pubmed/20305087	Direct interaction	108	BIOGRID	http://thebiogrid.org/	Transcription Factors,Cell Line,Cultured Cells,Stem Cells
	McCracken-Blencowe-2005	1.56	Proteomic analysis of SRm160-containing complexes reveals a conserved association with cohesin.	McCracken, Longman, Marcon, Moens, Downey, Nickerson, Jessberger, Wilde, Caceres, Emili, Blencowe	2005	J Biol Chem	16159877	http://www.ncbi.nlm.nih.gov/pubmed/16159877	Direct interaction	177	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Neganova-Lako-2011	1.51	An important role for CDK2 in G1 to S checkpoint activation and DNA damage response in human embryonic stem cells.	Neganova, Vilella, Atkinson, Lloret, Passos, von Zglinicki, O'Connor, Burks, Jones, Armstrong, Lako	2011	Stem Cells	21319273	http://www.ncbi.nlm.nih.gov/pubmed/21319273	Direct interaction	388	IREF	http://irefindex.uio.no/wiki/iRefIndex	Development,Cultured Cells,Cancer,Cell Proliferation,Apoptosis,Cell Line,Stem Cells,Transcription Factors
	Gloeckner-Ueffing-2007	1.16	A novel tandem affinity purification strategy for the efficient isolation and characterisation of native protein complexes.	Gloeckner, Boldt, Schumacher, Roepman, Ueffing	2007	Proteomics	17979178	http://www.ncbi.nlm.nih.gov/pubmed/17979178	Direct interaction	100	BIOGRID	http://thebiogrid.org/	Cell Line,Cultured Cells,Cancer
	McFarland-Nussbaum-2008	1.16	Proteomics analysis identifies phosphorylation-dependent alpha-synuclein protein interactions.	McFarland, Ellis, Markey, Nussbaum	2008	Mol Cell Proteomics	18614564	http://www.ncbi.nlm.nih.gov/pubmed/18614564	Direct interaction	157	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	Bett-Hay-2013	1.16	The P-body component USP52/PAN2 is a novel regulator of HIF1A mRNA stability.	Bett, Ibrahim, Garg, Kelly, Pedrioli, Rocha, Hay	2013	Biochem J	23398456	http://www.ncbi.nlm.nih.gov/pubmed/23398456	Direct interaction	317	IREF	http://irefindex.uio.no/wiki/iRefIndex	Transcription Factors,Cell Line,Cultured Cells,Cancer
	Udeshi-Carr-2012	1.07	Methods for quantification of in vivo changes in protein ubiquitination following proteasome and deubiquitinase inhibition.	Udeshi, Mani, Eisenhaure, Mertins, Jaffe, Clauser, Hacohen, Carr	2012	Mol Cell Proteomics	22505724	http://www.ncbi.nlm.nih.gov/pubmed/22505724	Direct interaction	2481	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line,Cancer,Immune System
	Jeronimo-Coulombe-2007	1.01	Systematic analysis of the protein interaction network for the human transcription machinery reveals the identity of the 7SK capping enzyme.	Jeronimo, Forget, Bouchard, Li, Chua, Poitras, Thérien, Bergeron, Bourassa, Greenblatt, Chabot, Poirier, Hughes, Blanchette, Price, Coulombe	2007	Mol Cell	17643375	http://www.ncbi.nlm.nih.gov/pubmed/17643375	Direct interaction	699	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Oshikawa-Nakayama-2012	0.99	Proteome-wide identification of ubiquitylation sites by conjugation of engineered lysine-less ubiquitin.	Oshikawa, Matsumoto, Oyamada, Nakayama	2012	J Proteome Res	22053931	http://www.ncbi.nlm.nih.gov/pubmed/22053931	Direct interaction	895	BIOGRID	http://thebiogrid.org/	
	Kneissl-Grummt-2003	0.92	Interaction and assembly of murine pre-replicative complex proteins in yeast and mouse cells.	Kneissl, Pütter, Szalay, Grummt	2003	J Mol Biol	12614612	http://www.ncbi.nlm.nih.gov/pubmed/12614612	Direct interaction	81	BIOGRID	http://thebiogrid.org/	Cell Proliferation,Transcription Factors,Cultured Cells,Cell Line
	Zhou-Conrads-2004	0.87	An investigation into the human serum "interactome".	Zhou, Lucas, Chan, Issaq, Petricoin, Liotta, Veenstra, Conrads	2004	Electrophoresis	15174051	http://www.ncbi.nlm.nih.gov/pubmed/15174051	Direct interaction	160	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Xu-Ye-2012	0.86	SGTA recognizes a noncanonical ubiquitin-like domain in the Bag6-Ubl4A-Trc35 complex to promote endoplasmic reticulum-associated degradation.	Xu, Cai, Yang, Huang, Ye	2012	Cell Rep	23246001	http://www.ncbi.nlm.nih.gov/pubmed/23246001	Direct interaction	224	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cell Line
	Brehme-Superti-Furga-2009	0.84	Charting the molecular network of the drug target Bcr-Abl.	Brehme, Hantschel, Colinge, Kaupe, Planyavsky, Köcher, Mechtler, Bennett, Superti-Furga	2009	Proc Natl Acad Sci U S A	19380743	http://www.ncbi.nlm.nih.gov/pubmed/19380743	Direct interaction	579	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cancer,Cell Line
	Varjosalo-Superti-Furga-2013	0.81	Interlaboratory reproducibility of large-scale human protein-complex analysis by standardized AP-MS.	Varjosalo, Sacco, Stukalov, van Drogen, Planyavsky, Hauri, Aebersold, Bennett, Colinge, Gstaiger, Superti-Furga	2013	Nat Methods	23455922	http://www.ncbi.nlm.nih.gov/pubmed/23455922	Direct interaction	4194	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Yu-Chow-2013	0.80	VCP phosphorylation-dependent interaction partners prevent apoptosis in Helicobacter pylori-infected gastric epithelial cells.	Yu, Yang, Chang, Chuang, Lin, Wu, Chow	2013	PLoS One	23383273	http://www.ncbi.nlm.nih.gov/pubmed/23383273	Direct interaction	272	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Signal Transduction,Cancer,Cell Proliferation,Apoptosis,Cell Line,Epithelial Cells
	Freibaum-Taylor-2010	0.80	Global analysis of TDP-43 interacting proteins reveals strong association with RNA splicing and translation machinery.	Freibaum, Chitta, High, Taylor	2010	J Proteome Res	20020773	http://www.ncbi.nlm.nih.gov/pubmed/20020773	Direct interaction	222	BIOGRID	http://thebiogrid.org/	Transcription Factors,Cultured Cells,Cell Line,Immune System
	Varjosalo-Gstaiger-2013 B	0.78	The protein interaction landscape of the human CMGC kinase group.	Varjosalo, Keskitalo, Van Drogen, Nurkkala, Vichalkovski, Aebersold, Gstaiger	2013	Cell Rep	23602568	http://www.ncbi.nlm.nih.gov/pubmed/23602568	Direct interaction	306	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Hegele-Stelzl-2012 B	0.77	Dynamic protein-protein interaction wiring of the human spliceosome.	Hegele, Kamburov, Grossmann, Sourlis, Wowro, Weimann, Will, Pena, Lührmann, Stelzl	2012	Mol Cell	22365833	http://www.ncbi.nlm.nih.gov/pubmed/22365833	Direct interaction	600	BIOGRID	http://thebiogrid.org/	
	IREF-DIP	0.77							Direct interaction	3719	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Kristensen-Foster-2012	0.77	A high-throughput approach for measuring temporal changes in the interactome.	Kristensen, Gsponer, Foster	2012	Nat Methods	22863883	http://www.ncbi.nlm.nih.gov/pubmed/22863883	Direct interaction	7104	BIOGRID	http://thebiogrid.org/	Time Series
	Havugimana-Emili-2012	0.73	A census of human soluble protein complexes.	Havugimana, Hart, Nepusz, Yang, Turinsky, Li, Wang, Boutz, Fong, Phanse, Babu, Craig, Hu, Wan, Vlasblom, Dar, Bezginov, Clark, Wu, Wodak, Tillier, Paccanaro, Marcotte, Emili	2012	Cell	22939629	http://www.ncbi.nlm.nih.gov/pubmed/22939629	Direct interaction	13710	BIOGRID	http://thebiogrid.org/	
	Agrawal-Sedivy-2010	0.72	Proteomic profiling of Myc-associated proteins.	Agrawal, Yu, Salomon, Sedivy	2010	Cell Cycle	21150319	http://www.ncbi.nlm.nih.gov/pubmed/21150319	Direct interaction	102	IREF	http://irefindex.uio.no/wiki/iRefIndex	Transcription Factors,Cell Line,Cultured Cells,Cancer
